timestamp_unix,t_in,t_ext,rh,pwm,door,ctrl_mode,phase,session_id,scenario,t_pred,err,integral,kp,ki,kd
1778308039,52.60,35.11,28.50,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308044,52.57,35.15,28.60,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308049,52.50,35.19,28.60,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308054,52.47,35.15,28.60,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308059,52.42,35.13,28.70,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308064,52.37,35.05,28.70,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308069,52.34,35.00,28.80,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308074,52.26,34.93,28.80,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308079,52.21,34.86,28.80,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308084,52.20,34.80,28.80,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308089,52.15,34.77,28.90,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308094,52.10,34.67,28.90,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308099,52.06,34.64,28.90,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308104,52.03,34.57,29.00,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308109,51.99,34.56,29.00,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308114,51.96,34.53,29.00,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308119,51.92,34.53,29.10,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308124,51.86,34.60,29.10,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308129,51.82,34.68,29.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308134,51.76,34.73,29.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308139,51.78,34.76,29.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308144,51.69,34.71,29.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308149,51.69,34.64,29.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308154,51.64,34.55,29.40,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308159,51.60,34.50,29.40,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308164,51.58,34.49,29.30,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308169,51.54,34.45,29.40,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308174,51.49,34.40,29.40,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308179,51.46,34.38,29.40,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308184,51.42,34.42,29.50,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308189,51.41,34.48,29.50,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308194,51.38,34.53,29.50,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308199,51.33,34.59,29.50,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308204,51.31,34.63,29.50,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308209,51.26,34.67,29.60,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308214,51.26,34.63,29.60,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308219,51.21,34.57,29.60,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308224,51.18,34.49,29.60,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308229,51.13,34.42,29.60,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308234,51.13,34.32,29.70,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308239,51.08,34.33,29.70,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308244,51.03,34.35,29.80,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308249,51.03,34.38,29.80,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308254,51.01,34.35,29.80,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308259,50.96,34.39,29.80,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308264,50.94,34.43,29.80,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308269,50.90,34.48,29.80,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308274,50.89,34.46,29.90,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308279,50.86,34.48,30.00,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308284,50.82,34.43,29.90,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308289,50.77,34.35,29.90,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308294,50.76,34.38,30.00,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308299,50.73,34.38,30.00,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308304,50.69,34.32,30.00,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308309,50.67,34.23,30.10,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308314,50.64,34.26,30.10,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308319,50.63,34.25,30.00,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308324,50.59,34.33,30.10,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308329,50.56,34.32,30.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
